algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.503,9600,8
MergeSort,random,10000,1.642,127254,11
MergeSort,random,100000,7.583,1639243,14
MergeSort,random,1000000,97.432,19886370,18
MergeSort,sorted,1000,0.014,4236,8
MergeSort,sorted,10000,0.198,59248,11
MergeSort,sorted,100000,2.534,744016,14
MergeSort,sorted,1000000,30.950,9071040,18
MergeSort,duplicates,1000,0.025,9218,8
MergeSort,duplicates,10000,0.427,121998,11
MergeSort,duplicates,100000,4.685,1561989,14
MergeSort,duplicates,1000000,52.092,18926322,18
QuickSort,random,1000,0.229,17586,6
QuickSort,random,10000,0.813,253988,8
QuickSort,random,100000,10.223,3054646,11
QuickSort,random,1000000,121.076,38322267,13
QuickSort,sorted,1000,0.047,16795,6
QuickSort,sorted,10000,0.558,251433,8
QuickSort,sorted,100000,6.347,3119537,11
QuickSort,sorted,1000000,73.611,38003980,13
QuickSort,duplicates,1000,0.017,5297,2
QuickSort,duplicates,10000,0.175,53104,3
QuickSort,duplicates,100000,1.666,609643,2
QuickSort,duplicates,1000000,16.283,5499043,2
QuickSelect,random,1000,0.012,4964,13
QuickSelect,random,10000,0.095,44026,16
QuickSelect,random,100000,0.980,536320,26
QuickSelect,random,1000000,9.714,5859259,26
QuickSelect,sorted,1000,0.006,4912,13
QuickSelect,sorted,10000,0.047,53319,16
QuickSelect,sorted,100000,0.587,732052,22
QuickSelect,sorted,1000000,6.298,4437984,26
QuickSelect,duplicates,1000,0.009,3659,4
QuickSelect,duplicates,10000,0.093,35097,5
QuickSelect,duplicates,100000,0.608,289627,2
QuickSelect,duplicates,1000000,7.520,3295041,3
